,id,title,combined_features
0,12506,Cry Freedom,"a dramatic story, based on actual events, about the friendship between two men struggling against apartheid in south africa in the 1970s. donald woods is a white liberal journalist in south africa who begins to follow the activities of stephen biko, a courageous and outspoken black anti-apartheid activist. Drama journalist 1970s malefriendship southafrica apartheid DenzelWashington KevinKline PenelopeWilton KateHardie JohnMatshikiza ZakesMokae JohnThaw KevinMcNally JosetteSimon JuanitaWaterman TimothyWest MilesAnderson IanRichardson AndrewMcCulloch GeraldSim GaryWhelan GlenMurphy PeterCartwright BadiUzzaman JulianGlover GwynethPowell JohnHargreaves PhilipBretherton AlecMcCowen JosephMarcell JudyCornwell JohnPaul GwenWatford WilliamMarlowe PaulJerricho RichardAttenborough"
1,2454,The Chronicles of Narnia: Prince Caspian,"one year after their incredible adventures in the lion, the witch and the wardrobe, peter, edmund, lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz. now, with the help of a colorful cast of new characters, including trufflehunter the badger and nikabrik the dwarf, the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir. Adventure Family Fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley SergioCastellitto AliciaBorrachero PeterDinklage WarwickDavis VincentGrass PierfrancescoFavino DamiánAlcázar SimónAndreu PredragBjelac ShaneRangi CornellJohn LiamNeeson KenStott TildaSwinton EddieIzzard KláraIssová AndrewAdamson"
2,10316,The Ides of March,dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative. Drama ohio politics dirtytricks presidentialcampaign endorsement campaignspeech presidentialdebate RyanGosling GeorgeClooney PhilipSeymourHoffman PaulGiamatti EvanRachelWood MarisaTomei JeffreyWright MaxMinghella JenniferEhle GregoryItzin MichaelMantell YuriySardarov BellaIvory MayaSayre DannyMooney JohnManfredi RobertMervak FabioPolanco FrankJonesJr. PeterHarpen RohnThomas DavidMcConnell MarkStaceyWhite LaurenWainwright KrisReilly MichaelEllison HayleyMeyers LeslieMcCurdy RobertBraun RachelMaddow ChrisMatthews CharlieRose DebDixon NealAnthonyRubin LorettaHiggins JoeDinda JohnRepulski CherieBowman ChylaAnderson MaxiAnderson NelsonBeato JohnnyBritt AlvinChea CarmenCarter ChristopherCarter CarmelEchols ClydeneJackson AmyKeys LoriPerry JosefPowell LamontVanHook JohnWest WillWheaton NitaWhitaker GeorgeClooney
3,226458,Backmask,"during an all-night, drug-fueled party at an abandoned asylum known for the horrific treatment of its patients, a group of ordinary teens decide to experiment with the occult, mysteriously leading to a violent possession. in an effort to find help, the group rushes to escape, only to find themselves locked inside with no means of communication. tempers flare, trusts are broken and in attempt to save one of their friends possessed by the demon, the amateurs try to perform an exorcism. instead of solving the problem, and unbeknownst to them, they unleash an even more powerful and vengeful spirit, one with a distinct motive and which wants them all dead. the teen's only chance of survival is to uncover the asylum's deep mysteries and find a way out before it's too late. Thriller Horror possession StephenLang KellyBlatz BrittanyCurran GageGolightly NickNicotera MichaelOrmsby BrettDier KevinChapman NickNordella LauraPutnam MeredithPrunty AshleyTramonte ShannonHartman LindsayMacDonald CaitlinO'Neill HilaryPingle JarretLeMaster JimFord MarkBurzenski AdamTeper KaitlynBouchard GaiaLiotta MarcusNispel"
4,5708,Control,"control is the biography of joy division lead singer ian curtis, taking his story from schoolboy days of 1973 to his suicide on the eve of the band's first american tour in 1980. Drama manchestercity medicine newlove epilepsy wife punk recordingcontract recordproducer recordlabel music independentfilm extramaritalaffair musicband SamRiley SamanthaMorton AlexandraMariaLara JoeAnderson JamesAnthonyPearson TobyKebbell CraigParkinson HarryTreadaway MatthewMcNulty AndrewSheridan RobertShelly RichardBremmer TanyaMyers TanyaMyers MarthaMyersLowe MaryJoRandle BenNaylor MargaretJackman JohnCooperClarke GeorgeNewton DavidWhittington AngusAddenbrooke NicolaHarrison JuneAlliss TimPlester HerbertGrönemeyer LauraChambers JosephMarshall MonicaAxelsson LottiCloss JoannaSwain EadyWilliams AntonCorbijn"
5,3682,54,"shane, a jersey boy with big dreams, crosses the river in hopes of finding a more exciting life at studio 54. when steve rubell, the mastermind behind the infamous disco, plucks shane from the sea of faces clamoring to get inside his club, shane not only gets his foot in the door, but lands a coveted job behind the bar – and a front-row seat at the most legendary party on the planet. Music Drama newyork sex nightclub money drug disco RyanPhillippe SalmaHayek BreckinMeyer MikeMyers NeveCampbell SherryStringfield SelaWard DanielLapaine ErikaAlexander HeatherMatarazzo AemiliaRobinson SkippSudduth MarkRuffalo LaurenHutton ArthurJ.Nascarella JohnHines BarbaraRadecki SeanSullivan VictorSutherland CoatiMundi SherylCrow HeidiKlum DonaldTrump SophieRousseau CindyCrawford GeorginaGrenville VictorBrowne NoamJenkins CameronMathison JayGoede PatrickTaylor MichaelPitt EllenAlbertiniDow VieslavKrystyan MarkChristopher"
6,347548,Containment,neighbors in a block wake one morning to find they have been sealed inside their apartments. can they work together to find out why? or will they destroy each other in their fight to escape? Thriller Horror ScienceFiction LouiseBrealey LeeRoss SheilaReid PippaNixon ClaireGreasley AndrewLeung BillyPostlethwaite HannahChalmers NeilMcenery-West
7,10634,Friday,"craig and smokey are two guys in los angeles hanging out on their porch on a friday afternoon, smoking and drinking, looking for something to do. Comedy rapmusic parentskidsrelationship rapper job IceCube ChrisTucker NiaLong TomListerJr. JohnWitherspoon AnnaMariaHorsford ReginaKing PaulaJaiParker FaizonLove DJPooh TonyCox AnthonyJohnson BernieMac MeaganGood TerriJ.Vaughn F.GaryGray ReynaldoRey MichaelClarkeDuncan F.GaryGray"
8,3989,Team America: World Police,"team america world police follows an international police force dedicated to maintaining global stability. learning that dictator kim jong il is out to destroy the world, the team recruits broadway star gary johnston to go undercover. with the help of team america, gary manages to uncover the plan to destroy the world. will team america be able to save it in time? it stars… samuel l jackson, tim robbins, sean penn, michael moore, helen hunt, matt damon, susan sarandon, george clooney, danny glover, ethan hawke, alec baldwin… or does it? Music Adventure Animation Action Comedy paris france cairo capitalism lossoflover egypt waragainstterror shotgun patriotism pentagon americandream destroy shipwreck louvre americanwayoflife failure panama damage government eiffeltowerparis worldpolitics massdestruction TreyParker MattStone KristenMiller MasasaMoyo DaranNorris MauriceLaMarche TreyParker"
9,44147,Wild Target,"victor maynard is a middle-aged, solitary assassin, who lives to please his formidable mother, despite his own peerless reputation for lethal efficiency. his professional routine is interrupted when he finds himself drawn to one of his intended victims, rose. he spares her life, unexpectedly acquiring in the process a young apprentice, tony. believing victor to be a private detective, his two new companions tag along, while he attempts to thwart the murderous attentions of his unhappy client Action Comedy londonengland mother robbery detective assassin hitman insomnia apprentice remake revenge murder gangster crime art surveillance BillNighy EmilyBlunt RupertGrint RupertEverett EileenAtkins MartinFreeman GregorFisher GeoffBell RoryKinnear DuncanDuff GrahamSeed JamesO'Donnell GeorgeRainsford AlexisRodney JonathanLynn"
