,id,title,combined_features
10,10663,The Waterboy,bobby boucher is a water boy for a struggling college football team. the coach discovers boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs. Comedy sport socialoutcast ridicule lawnmower desertedbyhusband lowselfesteem blackandwhitetocolor AdamSandler KathyBates FairuzaBalk HenryWinkler JerryReed LawrenceGilliardJr. BlakeClark PeterDante JonathanLoughran AlWhiting ClintHoward AllenCovert RobSchneider LawrenceTaylor DanPatrick FrankCoraci
11,13403,Hedwig and the Angry Inch,a transexual punk rock girl from east berlin tours the us with her rock band as she tells her life story and follows the ex-boyfriend/bandmate who stole her songs. Comedy Music transvestism gay sex singer transgender glamrock selfidentity rockodyssey referencetokant militarybrat restaurantchain lgbtinthemilitary childmolestation theatricalmanager JohnCameronMitchell MiriamShor StephenTrask TheodoreLiscinski RobCampbell MichaelAronov AndreaMartin MichaelPitt MauriceDeanWint BenMayer-Goodman AlbertaWatson GenePyrz Sook-YinLee JohnCameronMitchell
12,10307,Stigmata,"a young woman with no strong religious beliefs, frankie paige begins having strange and violent experiences, showing signs of the wounds that jesus received when crucified. when the vatican gets word of frankie's situation, a high-ranking cardinal requests that the rev. andrew kiernan investigate her case. soon kiernan realizes that very sinister forces are at work, and tries to rescue frankie from the entity that is plaguing her. Horror vatican miracle christian faith clergyman atheist PatriciaArquette GabrielByrne JonathanPryce NiaLong ThomasKopache RadeSerbedzija EnricoColantoni DickLatessa PortiadeRossi PatrickMuldoon AnnCusack ShaunToub TomHodges LydiaHazan ShaunDuke RupertWainwright"
13,1989,My Blueberry Nights,"elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. in order to support herself on her journey, elizabeth picks up a series of waitress jobs along the way. as elizabeth crosses paths with a series of lost souls. Drama Romance usa kaffeehaus poker lovesickness waitress bar nightlife night melancholy approach loneliness NorahJones JudeLaw NataliePortman DavidStrathairn RachelWeisz CatPower FrankieFaison MichaelDelano ChadR.Davis KatyaBlumenberg JohnMalloy DemetriusButler AdrianeLenox BenjaminKanes WongKar-wai"
14,12088,Fortress,a futuristic prison movie. protagonist and wife are nabbed at a future us emigration point with an illegal baby during population control. the resulting prison experience is the subject of the movie. the prison is a futuristic one run by a private corporation bent on mind control in various ways Action Thriller ScienceFiction prison cyborg marriedcouple future dystopia escape populationcontrol ChristopherLambert KurtwoodSmith LorynLocklin CliftonCollinsJr JeffreyCombs LincolnKilpatrick TomTowles VernonWells CarolynPurdy-Gordon AlanZitner DeniGordon EricBriantWells DragiciaDebert DragiciaDebert HarryNurmi StuartGordon
15,641,Requiem for a Dream,the hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. a look into addiction and how it overcomes the mind and body. Crime Drama drugaddiction junkie heroin speed diet unsociability illegalprostitution EllenBurstyn JaredLeto JenniferConnelly MarlonWayans ChristopherMcDonald LouiseLasser MarciaJeanKurtz JanetSarno SuzanneShepherd MarkMargolis JoanneGordon CharlotteAronofsky PeterMaloney DeniseDowse OlgaMerediz BenShenkman KeithDavid DylanBaker BillBuell DarrenAronofsky LiannaPai StanleyB.Herman NinaZavarin HeatherLitteer GreggBello ShaunO'Hagan JimmieRayWeeks DarrenAronofsky
16,10075,Blood and Chocolate,a young teenage werewolf is torn between honoring her family's secret and her love for a man. Drama Fantasy Horror Romance chocolate werewolf womandirector interspeciesromance animalhorror basedonyoungadultnovel AgnesBruckner HughDancy KatjaRiemann OlivierMartinez BryanDick ChrisGeere JackWilson VitalieUrsu TomHarper BogdanVoda KataDobó RodicaMandache SanduMihaiGruia HelgaRacz LiaBugnar SofiaVladu MihaiCalin DavidFinti AnatoleTaubman JohnKerr KatjavonGarnier
17,235271,Addicted,a gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life. Drama Thriller infidelity obsession lie sin interracialrelationship cheatingwife lust attraction deceit temptation hipersexualidad faithfulhusband BorisKodjoe BrandonGonzales CameronMills EmayatzyCorinealdi GarrettHines HunterBurke JohnNewberg KatGraham MariaHowell OmerMughal SharonLeal TashaSmith TysonBeckford WilliamLevy MikaylaDonlon BilleWoodruff
18,137347,Closer to the Moon,a romanian police officer teams up with a small crew of bank robbers to pull off a heist by convincing everyone at the scene of the crime that they are only filming a movie. Comedy Drama bankrobbery VeraFarmiga MarkStrong HarryLloyd AntonLesser JoeArmstrong ChristianMcKay TimPlester MonicaBârlădeanu AllanCorduner NaeCaranfil
19,10647,Pay It Forward,"like some other kids, 12-year-old trevor mckinney believed in the goodness of human nature. like many other kids, he was determined to change the world for the better. unlike most other kids, he succeeded. Drama Romance child'spointofview candlelightvigil gooddeed exoticdancer schoolteacher extracreditassignment disfigurement juniorhighschool burninjury womandirector KevinSpacey HelenHunt HaleyJoelOsment JayMohr JimCaviezel JonBonJovi AngieDickinson DavidRamsey GaryWerntz ColleenFlynn MarcDonato KathleenWilhoite LizaSnyder JeannettaArnette HannahLeder RustyMeyers MimiLeder"
20,11469,Black Knight,"martin lawrence plays jamal, an employee in medieval world amusement park. after sustaining a blow to the head, he awakens to find himself in 14th century england. Adventure Comedy Fantasy england blackpeople medallion castle timetravel leapintime knight impostor king middleages imposture medievaltimes MartinLawrence MarshaThomason TomWilkinson VincentRegan DarylMitchell MichaelCountryman KevinConway ErikJensen IsabellO'Connor JohnCronin GilJunger"
21,12133,Step Brothers,"brennan huff and dale doback might be grown men. but that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. brennan's constant competition with dale strains his mom's marriage to dale's dad, leaving everyone to wonder whether they'll ever see eye to eye. Comedy becominganadult autonomy childhoodtrauma hostility stepbrother slacker manchild aftercreditsstinger duringcreditsstinger WillFerrell JohnC.Reilly MarySteenburgen RichardJenkins AdamScott KathrynHahn AndreaSavage RobRiggle SethRogen LoganManus LuriePoston ShiraPiven WayneFederman KrystalEllsworth MattWalsh KenJeong AdamMcKay"
22,228150,Fury,"last months of world war ii in april 1945. as the allies make their final push in the european theater, a battle-hardened u.s. army sergeant in the 2nd armored division named wardaddy commands a sherman tank called ""fury"" and its five-man crew on a deadly mission behind enemy lines. outnumbered and outgunned, wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of nazi germany. War Drama Action worldwarii nazis war nazigermany panzer tank BradPitt ShiaLaBeouf LoganLerman MichaelPeña JonBernthal JimParrack BradWilliamHenke KevinVance XavierSamuel JasonIsaacs AnamariaMarinca AliciavonRittberg ScottEastwood EugeniaKuzmina JakeCurran EricKofiAbrefa AdamGanne MarekOravec ZachAvery JackBannon DavidAyer"
23,89325,Darling Companion,the story of a woman who loves her dog more than her husband. and then her husband loses the dog. Drama Romance aftercreditsstinger DianeKeaton KevinKline SamShepard DianneWiest RichardJenkins ElisabethMoss MarkDuplass AyeletZurer JayAli LawrenceKasdan
24,45145,Johnny Suede,a struggling young musician and devoted fan of ricky nelson wants to be just like his idol and become a rock star. Comedy Romance sex nightclub nudity musician song rock idol music rent liar independentfilm BradPitt CalvinLevels CatherineKeener NickCave AlisonMoir SamuelL.Jackson TomDiCillo
25,119458,Supercapitalist,a maverick new york hedge fund trader with uncanny analytic abilities moves to hong kong and orchestrates a mega-deal that swiftly escalates beyond his control. Thriller LinusRoache DerekTing RichardNg MichaelPark KathyUyen DarrenE.Scott JakeBoswell TheodoreBouloukos DannyBoushebel KennethTsang SimonYin
26,248402,A Fine Step,"a fine step is an uplifting family drama centering on cal masterson (luke perry, beverly hills 90210) an award winning horseman whose relationship with his beloved horse fandango allows him to achieve multiple championship wins. however tragedy strikes when cal and fandango are involved in a serious accident, ending cal's horse riding days forever. cal's devastation is slowly overcome when his new neighbour, 14 year old claire mason (anna claire sneed, glee) takes an interest in fandango and convinces him that fandango's competing days might not be over. Drama LukePerry AnnaClaireSneed LeonorVarela JonathanMeyers"
27,10048,Stealth,"deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war. Action artificialintelligence u.s.navy aftercreditsstinger JoshLucas JessicaBiel JamieFoxx SamShepard RichardRoxburgh JoeMorton EbonMoss-Bachrach MichaelDenkha ClaytonAdams RockyHelton IanBliss MauriceMorgan WoodyNaismith NicholasHammond JoelTobeck JohnWaters CharlesNdibe MichaelMcCabe JimDiamond SaraSaliba CarolinedeSouzaCorrea MeganGale HarliAmes RobCohen"
28,11596,New Nightmare,"freddy's back … and he's badder than ever! nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on freddy's persona. can nancy stop this new threat in time to save her son? Horror Thriller Mystery Fantasy fire kidnapping nightmare earthquake insomnia supernatural celebrity mascot alternatedimension fame hospital hollywood storytelling alternatereality self-referential reboot filmindustry disfigurement sleepwalking metafilm dreams cameos HeatherLangenkamp RobertEnglund MikoHughes WesCraven DavidNewsom TracyMiddendorf JohnSaxon JeffDavis MattWinston RobLaBelle MarianneMaddalena GretchenOehler CullyFredricksen BodhiElfman SamRubin ClaudiaHaro SaraRisher RobertShaye CindyGuidry RayGlanzmann YondaDavis MichaelHagiwara W.EarlBrown KennethZanchi JsuGarcia TuesdayKnight BeansMorocco TamaraMark LinShaye DeborahZaraKobylt DianeNadeau Star-ShemahBobatoon LouThornton CynthiaSavage JessicaCraven SandraEllisLafferty ThomasG.Burt TinaVail KathrynGreenwood KevinHarrison AmandaWyss FranBennett WesCraven"
29,67660,Think Like a Man,"the balance of power in four couples’ relationships is upset when the women start using the advice in steve harvey’s book, act like a lady, think like a man, to get more of what they want from their men. when the men realize that the women have gotten a hold of their relationship “playbook,” they decide that the best defense is a good offense and come up with a plan to use this information to their advantage. Comedy Romance advice love relationship ensemblecast duringcreditsstinger turningthetables readingabook africanamericancomedy MichaelEaly JerryFerrara MeaganGood ReginaHall KevinHart TarajiP.Henson TerrenceJenkins RomanyMalco GabrielleUnion JeniferLewis GaryOwen LaLaAnthony ChrisBrown WendyWilliams SherriShepherd CaleelHarris ArielleKebbel SteveHarvey TikaSumpter TimStory"
30,265208,Wild Card,"when a las vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing. Thriller Crime Drama gambling bodyguard remake JasonStatham MichaelAngarano MiloVentimiglia DominikGarcía-Lorido AnneHeche SofíaVergara MaxCasella JasonAlexander HopeDavis StanleyTucci FrançoisVincentelli MichaelPapajohn ChrisBrowning MatthewWillig DaveniaMcFadden JeanClaudeLeuyer GreiceSanto FreddiePoole NickEpper LaraGrice D'ArcyAllen ShannaForrestall LeePerkins AngelaKerecz KyleRussellClements SimonWest"
31,225574,Non-Stop,"bill marks is a burned-out veteran of the air marshals service. he views the assignment not as a life-saving duty, but as a desk job in the sky. however, today's flight will be no routine trip. shortly into the transatlantic journey from new york to london, he receives a series of mysterious text messages ordering him to have the government transfer $150 million into a secret account, or a passenger will die every 20 minutes. Action Thriller Mystery airplane conspiracy airplanecrash cellphone hijack onenight mysterykiller LiamNeeson JulianneMoore ScootMcNairy MichelleDockery NateParker CoreyStoll LupitaNyong'o JasonButlerHarner LinusRoache SheaWhigham OmarMetwally AnsonMount QuinnMcColgan CoreyHawkins FrankDeal BarPaly EdoardoCosta JonAbrahams AmandaQuaid BethDixon CameronMoir LarsGerhard OliverLehne MichaelThomasWalker PatKiernan AnnikaPergament VictoriaArbiter JefreyPollock JaumeCollet-Serra"
32,11543,Kingpin,"after bowler roy munson swindles the wrong crowd and is left with a hook for a hand, he settles into impoverished obscurity. that is, until he uncovers the next big thing: an amish kid named ishmael. so, the corrupt and the hopelessly naïve hit the circuit intent on settling an old score with big ern. Comedy sport handicap sexualfavor starspangledbanner bowlingteam hairloss biblicalinterpretation combover femalestripper inflatabledoll combover unlikelylovers kingpin carriage lancaster,pa WoodyHarrelson RandyQuaid VanessaAngel BillMurray ChrisElliott WilliamJordan NancyFrey-Jarecki RichardTyson LinShaye ZenGesner PrudenceWrightHolmes RobMoran DanielGreene WillRothhaar MarkCharpentier BradFaxon SayedBadreya LindaCarola DannyMurphy DavidShackelford RickBarker GretchenTreser WillieGarson GoogyGress SuzanHughes MichaelCorrente HankBrandt LibbyLangdon LizaOxnard LorriBagley SteveTyler NancyFarrelly CynthiaFarrellyGesner BobbyFarrelly PeterFarrelly"
33,164372,The Snow Queen,"the ice-cold snow queen wishes to turn the world into a frozen landscape, with no light, no joy, no happiness, and no free will. a young man, kai, is rumored to be the son of a man who is the queen's only remaining threat. he is abducted and held captive in the queen's palace, and it's up to his sister, gerda, to rescue him. gerda journeys across an icy land, facing difficult obstacles and meeting wonderful new friends that help her in her quest to set kai free, defeat the snow queen, and save the world from eternal frost. Animation Fantasy IvanOkhlobystin DmitriyNagiev LyudmilaArtemeva AnnaArdova ElizavetaArzamasova VladlenBarbe MaksimSveshnikov"
34,73873,Albert Nobbs,"albert nobbs struggles to survive in late 19th century ireland, where women aren't encouraged to be independent. posing as a man, so she can work as a butler in dublin's most posh hotel, albert meets a handsome painter and looks to escape the lie she has been living. Drama butler dublin maid GlennClose MiaWasikowska AaronTaylor-Johnson PaulineCollins BrendanGleeson JonathanRhysMeyers AntoniaCampbell-Hughes MariaDoyleKennedy MarkWilliams JamesGreene SerenaBrabazon MichaelMcElhatton PhyllidaLaw BronaghGallagher AnnieStarke JanetMcTeer RodrigoGarcía"
35,14442,Ella Enchanted,"ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. ella's so-called gift, however, is obedience. this birthright proves itself to be quite the curse once ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. determined to gain control of her life and decisions, ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. the path, however, isn't easy -- ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and prince charmont's evil uncle, who wants to take over the crown and rule the kingdom. Family Fantasy Comedy elves basedonnovel magic fairy prince fairytale spell fantasyworld giant ogre obedience fairygodmother elf AnneHathaway HughDancy CaryElwes VivicaA.Fox JoannaLumley JimiMistry SteveCoogan AidanMcArdle HeidiKlum JimCarter JenniferHigham ParminderNagra LucyPunch MinnieDriver PatrickBergin EricIdle DonnaDent TommyO'Haver"
36,33676,Losin' It,"set in 1965, four los angeles school friends -- woody, dave, spider and wendell -- go on a series of misadventures when they head to tijuana, mexico, for a night of cruisin', causing trouble, and to lose their virginity. Comedy malenudity femalenudity mexico prostitute nudity highschool lockerroom independentfilm teensexcomedy teenager canuxploitation virginity TomCruise JackieEarleHaley JohnStockwell JohnP.Navin,Jr. ShelleyLong HenryDarrow HectorElias JohnValby DanielFaraldo EnriqueCastillo MarioMarcelino RickRossovich JamesVictor KaleBrowne JoeSpinell CurtisHanson"
37,227348,Paranormal Activity: The Marked Ones,"seventeen-year-old jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul. Horror Thriller supernatural demon foundfootage AndrewJacobs RichardCabral CarlosPratts EddieJ.Fernandez JorgeDiaz DavidFernandezJr. MollyEphraim KatieFeatherston CrystalSantos CatherineToribio ChristopherB.Landon"
38,299553,Shark Lake,"meredith hendricks happens to be the best cop in her quiet town on lake tahoe. when a black-market exotic species dealer named clint is paroled from prison, something he let loose begins to make its presence known. swimmers and land-lovers alike begin to become part of the food chain at an unbelievable rate. meredith and her team discover that they're not just hunting one eating machine, but a whole family of them. not everyone will make it out alive, but those who do will never forget this summer at shark lake. Thriller lake sharkattack DolphLundgren JamesChalke SaraMalakulLane MichaelAaronMilligan IbrahimRennoJr. MilesDoleac MelissaBolona LanceE.Nichols TedFerguson KelseyDeanne JohnCeallach CarolAnnScruggs KimBaptiste EleBardha JerryDugan"
39,174311,All Is Bright,"two french canadian ne’er-do-wells travel to new york city with a scheme to a get rich quick selling christmas trees. easygoing charmer rene (paul rudd) clashes with misanthropic ex-con dennis (paul giamatti), whose wife rene just stole. still, this odd couple must make an honest go of it in this fresh buddy comedy co-starring sally hawkins, by the director of the indie breakout hit junebug. Comedy Drama christmastree salesman frenchcanadian PaulRudd PaulGiamatti SallyHawkins PeterHermann MichaelDrayer HalleyFeiffer AmyLandecker CurtissCook MorganSpector NikkiM.James EmoryCohen BarbaraVincent PhilMorrison"
40,8999,Derailed,"when two married business executives having an affair are blackmailed by a violent criminal, they are forced to turn the tables on him to save their families. Drama Thriller prison chicago rape basedonnovel hotelroom wifehusbandrelationship anonymousletter blackmail family'sdailylife letter businessman relationshipproblems manbetweentwowomen revenge deception beating violence wallet extramaritalaffair embezzlement advertisingexecutive flashback abortion commutertrain CliveOwen JenniferAniston VincentCassel MelissaGeorge AddisonTimlin Xzibit RZA SandraBee WilliamArmstrong TomConti RachaelBlake RichardLeaf CatherineMcCord DenisO'Hare GeorginaChapman GiancarloEsposito DavidMorrissey DavidOyelowo JenniferJoanTaylor MikaelHåfström"
41,10439,Hocus Pocus,"after 300 years of slumber, three sister witches are accidentally resurrected in salem on halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all. Comedy Family Fantasy witch halloween salem trickortreating spellcasting BetteMidler SarahJessicaParker KathyNajimy OmriKatz ThoraBirch VinessaShaw JodieRivera JasonMarsden LarryBagby TobiasJelinek StephanieFaracy CharlesRocket DougJones KarynMalchus SeanMurray SteveVoboril NorbertWeisser KathleenFreeman D.A.Pauley EzraSutton DonYesso MichaelMcGrady LeighHamilton DevonReeves JosephMalone JordanRedmond FrankDelBoccio JeffNeubauer TedaBracci PeggyHolmes GarryMarshall PennyMarshall KennyOrtega"
42,268920,Hot Pursuit,an uptight by-the-book cop must protect the widow of a drug boss from crooked cops and gunmen. Action Comedy Crime texas prisoner cop drugcartel ontherun policeofficer prisonerontherun womandirector ReeseWitherspoon SofíaVergara MichaelMosley JohnCarrollLynch RichardT.Jones JodiLynBrockton RobertKazinsky MatthewDelNegro MikeBirbiglia JaylenMoore HarleyGraham MatthewDelNegro KathleenFletcher AlejandraPérez AbigailJamesWitherspoon KennethKyntBryan BennyNieves MichaelRayEscamilla JoaquínCosio JimGaffigan VincentLaresca DavidJensen EvalunaMontaner MarcusLyleBrown ManoloGonzalez-Vergara KimCollins HarlonMiller RachelWulff PhilAnaya JannetteSepwa JoeCampIII AnneFletcher OscarGale CarolSutton PeachesDavis FallingstarLocke KaylaCangiamilla LeslieIvetteQuezada MillarelOrmazabal NatalieLegendre ZacharyWoodlee NoelRathe PreciousRoberson BryceRomero JosuéGutierrez LeticiaMagaña JeromeAndries MichaelD.Anglin JohnL.Armijo TonyBeard SeanBeck TearynBelanger LukasBennett EricBerris BetsyBorrego RenaldoBrady TomBui KinaDach'eBullock JanetLynnCarey RonCentanni StephanieClaire CallieCroughwell MichelleDeVito TaylorDiMarco JaredDrennan DivinePrinceTyEmmecca SharonFarmer RebeccaLeeFox OrlandoGallegos RebeccaGamble JohnGarcia GeraldineGlenn GloriaGonnillini ScottGray LyleR.Guidroz ChristopherGulas ScottGulino JeannieHargrave SadariasHarrell RyanHebert ChristopherHeskey BriaHobgood SamanthaHopkins LizethHutchings JacquelynTwodatJackson DonJarrells PatJarrells PatrickKearns SteveKish JohnC.Klein MarkKubr EltonLeBlanc JustinLebrun TaylorLissarrague TracyB.Mann NathanMarchena CesarMarquez MarkR.Miscione MikeR.Moreau NicondraNorwood RobertPekel JosephPoliquin DiezelRamos AnthonyRamsey LaQuitaS-Kay WilliamSchaff KerrySims SeanStevens WillStone DarylThibodaux ShirleyTregre JuleeVadnais LeslieAnneWhitman BenjaminWood AnneFletcher
43,9059,Tales from the Crypt: Demon Knight,a man on the run is hunted by a demon known as the collector. Horror Comedy Thriller prostitute key jesuschrist chosenone god goodvsevil blood demon cryptkeeper BillyZane WilliamSadler JadaPinkettSmith BrendaBakke CCHPounder JohnKassir DickMiller ThomasHadenChurch JohnSchuck GaryFarmer CharlesFleischer TimDeZarn SherrieRose RyanO'Donohue TonySalome ChaseyLain TraciBingham PeggyTrentini ErnestR.Dickerson
44,13856,Special,a lonely metermaid has a psychotic reaction to his medication and becomes convinced he's a superhero. a very select group of people in life are truly gifted. special is a movie about everyone else. Drama Fantasy ScienceFiction hallucination superhero independentfilm MichaelRapaport JoshPeck RobertBaker JackKehler AlexandraHolden IanBohen ChristopherDarga PaulBlackthorne HalHaberman JeremyPassmore
45,606,Out of Africa,"out of africa tells the story of the life of danish author karen blixen, who at the beginning of the 20th century moved to africa to build a new life for herself. the film is based on the autobiographical novel by karen blixen from 1937. Drama dancing trainstation denmark fire cemetery compass lion picnic fireworks grave passion farmworker plantation kenia coffeeplantation safari banker airplane weddingnight adventure aggressionbyanimal friendship syphillis MerylStreep RobertRedford KlausMariaBrandauer MichaelKitchen MalickBowens JosephThiaka StephenKinyanjui MichaelGough SuzannaHamilton RachelKempson GrahamCrowden LesliePhillips MikeBugara ShaneRimmer JobSeda MohammedUmar Iman SydneyPollack"
